,Datetime,Open,High,Low,Close,TKS,KJS,SKA,SKB,CKS
51,2021-07-13 10:21:00-04:00,437.0700073242188,437.125,437.05999755859375,437.0799865722656,437.0150451660156,436.8399963378906,436.9275207519531,436.6800079345703,436.9179992675781
52,2021-07-13 10:22:00-04:00,437.0700073242188,437.1300048828125,437.0400085449219,437.0899963378906,437.0150451660156,436.8399963378906,436.9275207519531,436.6800079345703,437.0050048828125
53,2021-07-13 10:23:00-04:00,437.0899963378906,437.1900024414063,437.0799865722656,437.1799926757813,437.04504394531256,436.86999511718756,436.95751953125006,436.7100067138672,437.0400085449219
54,2021-07-13 10:24:00-04:00,437.1700134277344,437.18499755859375,437.1000061035156,437.1600036621094,437.04504394531256,436.86999511718756,436.95751953125006,436.7100067138672,436.8599853515625
55,2021-07-13 10:25:00-04:00,437.1499938964844,437.1549987792969,437.0199890136719,437.0400085449219,437.04504394531256,436.86999511718756,436.95751953125006,436.7100067138672,436.7999877929688
56,2021-07-13 10:26:00-04:00,437.0400085449219,437.068115234375,436.9599914550781,436.9649963378906,437.0500030517578,436.86999511718756,436.95999908447266,436.7100067138672,436.8949890136719
57,2021-07-13 10:27:00-04:00,436.9660034179688,437.0802001953125,436.9660034179688,437.0289916992188,437.0749969482422,436.86999511718756,436.97249603271484,436.7149963378906,436.6400146484375
58,2021-07-13 10:28:00-04:00,437.0199890136719,437.05999755859375,436.9500122070313,437.0174865722656,437.0700073242188,436.88000488281256,436.9750061035157,436.7200012207031,436.5750122070313
59,2021-07-13 10:29:00-04:00,437.0150146484375,437.1300048828125,437.0150146484375,437.1300048828125,437.0700073242188,436.9250030517578,436.9975051879883,436.7200012207031,436.8599853515625
60,2021-07-13 10:30:00-04:00,437.1300048828125,437.1889953613281,437.0899963378906,437.1700134277344,437.0700073242188,436.94494628906256,437.0074768066407,436.75500488281256,436.739990234375
61,2021-07-13 10:31:00-04:00,437.1700134277344,437.2900085449219,437.0950012207031,437.260009765625,437.12001037597656,436.9949493408203,437.05747985839844,436.885009765625,436.8450012207031
62,2021-07-13 10:32:00-04:00,437.25,437.2999877929688,437.1400146484375,437.25,437.12500000000006,436.9999389648438,437.06246948242193,436.9099884033203,436.9400024414063
63,2021-07-13 10:33:00-04:00,437.25,437.3299865722656,437.2300109863281,437.2799987792969,437.13999938964844,437.0149383544922,437.0774688720703,436.92498779296875,436.8615112304688
64,2021-07-13 10:34:00-04:00,437.2774963378906,437.3999938964844,437.2699890136719,437.3500061035156,437.1750030517578,437.04994201660156,437.1124725341797,436.9599914550781,436.75
