Datetime,Price,LongTerm,ShortTerm,LTSD,Position,Record,Cash,Sunk,Balance
2021-07-01 11:30:00-04:00,9.53189502816275,8.85049111911443,8.541892489783844,0.7271992956741072,1,0.0,-7.682054053710999,9.53189502816275,1.8498409744517517
2021-07-01 11:45:00-04:00,9.496007573703054,8.859647381025091,8.575370212026623,0.7122821589729422,1,0.0,-7.682054053710999,9.496007573703054,1.8139535199920545
2021-07-01 12:00:00-04:00,9.510328761602182,8.868876904296389,8.608175775169626,0.6973232431266199,1,0.0,-7.682054053710999,9.510328761602182,1.8282747078911825
2021-07-01 12:15:00-04:00,9.560687860010674,8.878689825803443,8.641597251830715,0.6822757338005312,1,0.0,-7.682054053710999,9.560687860010674,1.8786338062996748
2021-07-01 12:30:00-04:00,9.780276134938603,8.891478284280995,8.681550896852045,0.6672290869075068,1,0.0,-7.682054053710999,9.780276134938603,2.098222081227604
2021-07-01 12:45:00-04:00,9.810294465134803,8.904511138102967,8.72115593433565,0.6522105241794028,1,0.0,-7.682054053710999,9.810294465134803,2.1282404114238034
2021-07-01 13:00:00-04:00,9.956164217092294,8.91942820327076,8.764489558292023,0.6372312991550046,1,0.0,-7.682054053710999,9.956164217092294,2.2741101633812946
2021-07-01 13:15:00-04:00,9.939067379459999,8.933891170516878,8.805702815175112,0.6223017788724322,1,0.0,-7.682054053710999,9.939067379459999,2.257013325749
2021-07-01 13:30:00-04:00,10.12068838459966,8.950725173792147,8.851842659716324,0.60742528515083,1,0.0,-7.682054053710999,10.12068838459966,2.438634330888661
2021-07-01 13:45:00-04:00,10.302456432056147,8.969898667085111,8.902741388570353,0.5926668974601587,1,0.0,-7.682054053710999,10.302456432056147,2.6204023783451476
2021-07-01 14:00:00-04:00,10.166401534051545,8.986870339190784,8.947080341043378,0.5780691646561159,1,0.0,-7.682054053710999,10.166401534051545,2.4843474803405456
2021-07-01 14:15:00-04:00,10.263037908443337,9.004972007085595,8.993254290776711,0.5636350201106718,1,0.0,-7.682054053710999,10.263037908443337,2.580983854732338
2021-07-01 14:30:00-04:00,10.351966106381909,9.024078306622195,9.040928389569876,0.5492959472253276,0,-1.0,2.6699120526709095,0.0,2.6699120526709095
2021-07-01 14:45:00-04:00,10.20015081371153,9.040760186375552,9.08160286059239,0.5350978583751029,-1,-1.0,12.87006286638244,-10.20015081371153,2.6699120526709095
2021-07-01 15:00:00-04:00,10.153324679351769,9.056541243218843,9.119207134934825,0.52104523619005,-1,0.0,12.87006286638244,-10.153324679351769,2.7167381870306713
2021-07-01 15:15:00-04:00,10.08184703399651,9.071084587955424,9.152983973498394,0.5070771702715091,-1,0.0,12.87006286638244,-10.08184703399651,2.78821583238593
2021-07-01 15:30:00-04:00,9.990620858797882,9.084127655791875,9.182374741403638,0.4931545203585334,-1,0.0,12.87006286638244,-9.990620858797882,2.879442007584558
2021-07-01 15:45:00-04:00,10.241915104396156,9.100550172998068,9.21955159624548,0.4793151599898147,-1,0.0,12.87006286638244,-10.241915104396156,2.628147761986284
2021-07-02 09:30:00-04:00,9.389903544267483,9.104654476187076,9.225528857579587,0.46559503969497007,-1,0.0,12.87006286638244,-9.389903544267483,3.4801593221149574
2021-07-02 09:45:00-04:00,10.115557569892118,9.118993527335322,9.256757935204588,0.45199061428896115,-1,0.0,12.87006286638244,-10.115557569892118,2.754505296490322
2021-07-02 10:00:00-04:00,9.896574337124477,9.130023042499511,9.279207633517567,0.438556059146393,-1,0.0,12.87006286638244,-9.896574337124477,2.9734885292579634
2021-07-02 10:15:00-04:00,9.379024362794638,9.133554976162301,9.282709974895711,0.42528795342711734,-1,0.0,12.87006286638244,-9.379024362794638,3.491038503587802
2021-07-02 10:30:00-04:00,9.313990282745948,9.136114342242838,9.283807529557123,0.41220292972482303,-1,0.0,12.87006286638244,-9.313990282745948,3.5560725836364924
2021-07-02 10:45:00-04:00,9.262532288029561,9.137907504614939,9.283061029854402,0.3993234195159127,-1,0.0,12.87006286638244,-9.262532288029561,3.607530578352879
2021-07-02 11:00:00-04:00,9.175040519675434,9.138434214054362,9.279270836514788,0.3866371139123019,-1,0.0,12.87006286638244,-9.175040519675434,3.695022346707006
2021-07-02 11:15:00-04:00,9.145355264407215,9.138532384982446,9.274572044511014,0.3741819004260958,-1,0.0,12.87006286638244,-9.145355264407215,3.7247076019752257
2021-07-02 11:30:00-04:00,9.036848865051198,9.137090065534986,9.26623088031944,0.3619761490132721,-1,0.0,12.87006286638244,-9.036848865051198,3.8332140013312426
2021-07-02 11:45:00-04:00,9.142595071642006,9.137168150728838,9.261892781769355,0.35002548299421926,-1,0.0,12.87006286638244,-9.142595071642006,3.727467794740434
2021-07-02 12:00:00-04:00,9.118527156238173,9.13690373945665,9.2568624089437,0.33844002078316376,-1,0.0,12.87006286638244,-9.118527156238173,3.7515357101442675
2021-07-02 12:15:00-04:00,9.260813090772288,9.138661318926394,9.257001029358738,0.32706785255222587,-1,0.0,12.87006286638244,-9.260813090772288,3.6092497756101523
2021-07-02 12:30:00-04:00,9.2475984285756,9.140206526171458,9.256671113541785,0.31590262719958756,-1,0.0,12.87006286638244,-9.2475984285756,3.6224644378068405
2021-07-02 12:45:00-04:00,9.35310427072676,9.143226352366181,9.260054733092135,0.3048807057949291,-1,0.0,12.87006286638244,-9.35310427072676,3.51695859565568
2021-07-02 13:00:00-04:00,9.150639977875215,9.143331510175878,9.256215618873997,0.2940857850477191,-1,0.0,12.87006286638244,-9.150639977875215,3.719422888507225
2021-07-02 13:15:00-04:00,9.035585136191145,9.141803192799236,9.248474198428985,0.2835443148376103,-1,0.0,12.87006286638244,-9.035585136191145,3.8344777301912956
